Time	Lead II
0	0
0.01	0
0.02	0
0.03	0
0.04	0
0.05	0
0.06	0
0.07	0
0.08	0
0.09	0
0.1	0
0.11	0
0.12	0
0.13	0
0.14	0
0.15	0
0.16	0
0.17	0
0.18	0
0.19	0
0.2	0
0.21	0
0.22	0
0.23	0
0.24	0
0.25	0
0.26	0
0.27	0
0.28	0
0.29	0
0.3	0
0.31	0
0.32	0
0.33	0
0.34	0
0.35	0
0.36	0
0.37	0
0.38	0
0.39	0
0.4	0
0.41	0
0.42	0
0.43	0
0.44	0
0.45	0
0.46	0
0.47	0
0.48	0
0.49	0
0.5	0
0.51	0
0.52	0
0.53	0
0.54	0
0.55	0
0.56	0
0.57	0
0.58	0
0.59	0
0.6	0
0.61	0
0.62	0
0.63	0
0.64	0
0.65	0
0.66	0
0.67	0
0.68	0
0.69	0
0.7	0
0.71	0
0.72	0
0.73	0
0.74	0
0.75	0
0.76	0
0.77	0
0.78	0
0.79	0
0.8	0
0.81	0
0.82	0
0.83	0
0.84	0
0.85	0
0.86	0
0.87	0
0.88	0
0.89	0
0.9	0
0.91	0
0.92	0
0.93	0
0.94	0
0.95	0
0.96	0
0.97	0
0.98	0
0.99	0
1	0
1.01	0
1.02	0
1.03	0
1.04	0
1.05	0
1.06	0
1.07	0
1.08	0
1.09	0
1.1	0
1.11	0
1.12	0
1.13	0
1.14	0
1.15	0
1.16	0
1.17	0
1.18	0
1.19	0
1.2	0
1.21	0
1.22	0
1.23	0
1.24	0
1.25	0
1.26	0
1.27	0
1.28	0
1.29	0
1.3	0
1.31	0
1.32	0
1.33	0
1.34	0
1.35	0
1.36	0
1.37	0
1.38	0
1.39	0
1.4	0
1.41	0
1.42	0
1.43	0
1.44	0
1.45	0
1.46	0
1.47	0
1.48	0
1.49	0
1.5	0
1.51	0
1.52	0
1.53	0
1.54	0
1.55	0
1.56	0
1.57	0
1.58	0
1.59	0
1.6	0
1.61	0
1.62	0
1.63	0
1.64	0
1.65	0
1.66	0
1.67	0
1.68	0
1.69	0
1.7	0
1.71	0
1.72	0
1.73	0
1.74	0
1.75	0
1.76	0
1.77	0
1.78	0
1.79	0
1.8	0
1.81	0
1.82	0
1.83	0
1.84	0
1.85	0
1.86	0
1.87	0
1.88	0
1.89	0
1.9	0
1.91	0
1.92	0
1.93	0
1.94	0
1.95	0
1.96	0
1.97	0
1.98	0
1.99	0
2	-0.0180083
2.01	-0.0368378
2.02	0.439308
2.03	1.02432
2.04	1.40228
2.05	1.55684
2.06	1.5526
2.07	1.68008
2.08	1.77594
2.09	1.72203
2.1	1.52489
2.11	1.33708
2.12	1.47256
2.13	1.50381
2.14	1.36758
2.15	1.17167
2.16	0.947913
2.17	0.858178
2.18	0.669408
2.19	0.460432
2.2	0.259683
2.21	0.0662026
2.22	-0.0778771
2.23	-0.230845
2.24	-0.251087
2.25	-0.217129
2.26	-0.277406
2.27	-0.385188
2.28	-0.566742
2.29	-0.346681
2.3	0.249846
2.31	0.471346
2.32	0.127367
2.33	-0.468731
2.34	-0.827849
2.35	-0.9573
2.36	-1.05567
2.37	-1.06315
2.38	-1.1369
2.39	-1.16093
2.4	-1.16568
2.41	-1.20202
2.42	-1.17143
2.43	-1.2097
2.44	-1.14776
2.45	-1.00673
2.46	-0.996347
2.47	-0.943545
2.48	-0.931512
2.49	-0.886749
2.5	-0.817667
2.51	-0.782114
2.52	-0.67915
2.53	-0.673175
2.54	-0.64111
2.55	-0.59043
2.56	-0.599869
2.57	-0.540337
2.58	-0.551129
2.59	-0.50217
2.6	-0.448902
2.61	-0.452194
2.62	-0.318573
2.63	-0.234436
2.64	-0.135906
2.65	-0.0623173
2.66	-0.0664245
2.67	0.00319488
2.68	-0.0277499
2.69	-0.0225964
2.7	0.0363063
2.71	0.0397235
2.72	0.078525
2.73	0.0714373
2.74	0.142466
2.75	0.173228
2.76	0.19491
2.77	0.638991
2.78	1.21973
2.79	1.42484
2.8	1.13129
2.81	0.739459
2.82	0.632837
2.83	0.589617
2.84	0.645836
2.85	0.724152
2.86	0.783835
2.87	0.940573
2.88	0.983427
2.89	1.05637
2.9	1.18153
2.91	1.28892
2.92	1.46898
2.93	1.5453
2.94	1.6414
2.95	1.77525
2.96	1.85085
2.97	2.00882
2.98	2.14083
2.99	2.30236
3	2.42938
3.01	2.48969
3.02	2.67164
3.03	2.72207
3.04	2.78656
3.05	2.91655
3.06	3.02704
3.07	3.2213
3.08	3.37301
3.09	3.59904
3.1	3.82937
3.11	3.98464
3.12	4.2314
3.13	4.53888
3.14	4.91386
3.15	5.18864
3.16	5.22622
3.17	4.90003
3.18	4.18571
3.19	3.70585
3.2	3.6122
3.21	3.67483
3.22	3.86984
3.23	4.09292
3.24	4.56854
3.25	5.38789
3.26	6.63626
3.27	7.93285
3.28	8.40295
3.29	8.20593
3.3	7.8964
3.31	7.63706
3.32	7.46337
3.33	7.38215
3.34	7.46882
3.35	7.5061
3.36	7.28247
3.37	6.84424
3.38	5.99847
3.39	4.64874
3.4	2.75204
3.41	0.366952
3.42	-2.10267
3.43	-3.67212
3.44	-3.78552
3.45	-3.32922
3.46	-3.11963
3.47	-2.79106
3.48	-2.04618
3.49	-0.834464
3.5	0.556607
3.51	1.69223
3.52	2.2794
3.53	1.76225
3.54	0.286409
3.55	-2.22707
3.56	-6.23117
3.57	-11.6229
3.58	-17.6639
3.59	-21.8028
3.6	-22.6694
3.61	-21.5642
3.62	-19.8769
3.63	-18.0707
3.64	-16.049
3.65	-13.9182
3.66	-12.0774
3.67	-10.5776
3.68	-9.52141
3.69	-9.06524
3.7	-9.19079
3.71	-10.2413
3.72	-11.5983
3.73	-12.8277
3.74	-13.8428
3.75	-14.1609
3.76	-13.539
3.77	-12.4764
3.78	-11.8342
3.79	-11.3833
3.8	-10.592
3.81	-9.42169
3.82	-8.07864
3.83	-6.85715
3.84	-5.82185
3.85	-4.95093
3.86	-4.18997
3.87	-3.37039
3.88	-2.6152
3.89	-1.8675
3.9	-1.17242
3.91	-0.581091
3.92	-0.0132301
3.93	0.38734
3.94	0.772764
3.95	1.21298
3.96	1.61484
3.97	2.02428
3.98	2.346
3.99	2.67018
4	2.94493
4.01	3.07062
4.02	3.21079
4.03	3.26877
4.04	3.31243
4.05	3.39949
4.06	3.46641
4.07	3.59181
4.08	3.7109
4.09	3.72023
4.1	3.67681
4.11	3.6673
4.12	3.78957
4.13	3.92986
4.14	4.06271
4.15	4.15434
4.16	4.13895
4.17	4.1395
4.18	4.06889
4.19	3.97676
4.2	3.89788
4.21	3.80651
4.22	3.79944
4.23	3.78651
4.24	3.75211
4.25	3.8516
4.26	4.19764
4.27	4.72026
4.28	4.79023
4.29	4.43704
4.3	4.09879
4.31	3.86664
4.32	3.80861
4.33	3.79978
4.34	3.7869
4.35	3.78248
4.36	3.74133
4.37	3.76018
4.38	3.73227
4.39	3.71315
4.4	3.75977
4.41	3.76097
4.42	3.79781
4.43	3.79114
4.44	3.79746
4.45	3.80945
4.46	3.71697
4.47	3.66678
4.48	3.59449
4.49	3.49535
4.5	3.51304
4.51	3.54992
4.52	3.59187
4.53	3.62774
4.54	3.60358
4.55	3.54507
4.56	3.45669
4.57	3.40251
4.58	3.23216
4.59	2.99273
4.6	2.55737
4.61	1.74651
4.62	0.401519
4.63	-1.86904
4.64	-4.68224
4.65	-6.64767
4.66	-7.05397
4.67	-6.32865
4.68	-5.39937
4.69	-4.68679
