Time	Lead II
0	0
0.01	0
0.02	0
0.03	0
0.04	0
0.05	0
0.06	0
0.07	0
0.08	0
0.09	0
0.1	0
0.11	0
0.12	0
0.13	0
0.14	0
0.15	0
0.16	0
0.17	0
0.18	0
0.19	0
0.2	0
0.21	0
0.22	0
0.23	0
0.24	0
0.25	0
0.26	0
0.27	0
0.28	0
0.29	0
0.3	0
0.31	0
0.32	0
0.33	0
0.34	0
0.35	0
0.36	0
0.37	0
0.38	0
0.39	0
0.4	0
0.41	0
0.42	0
0.43	0
0.44	0
0.45	0
0.46	0
0.47	0
0.48	0
0.49	0
0.5	0
0.51	0
0.52	0
0.53	0
0.54	0
0.55	0
0.56	0
0.57	0
0.58	0
0.59	0
0.6	0
0.61	0
0.62	0
0.63	0
0.64	0
0.65	0
0.66	0
0.67	0
0.68	0
0.69	0
0.7	0
0.71	0
0.72	0
0.73	0
0.74	0
0.75	0
0.76	0
0.77	0
0.78	0
0.79	0
0.8	0
0.81	0
0.82	0
0.83	0
0.84	0
0.85	0
0.86	0
0.87	0
0.88	0
0.89	0
0.9	0
0.91	0
0.92	0
0.93	0
0.94	0
0.95	0
0.96	0
0.97	0
0.98	0
0.99	0
1	0
1.01	0
1.02	0
1.03	0
1.04	0
1.05	0
1.06	0
1.07	0
1.08	0
1.09	0
1.1	0
1.11	0
1.12	0
1.13	0
1.14	0
1.15	0
1.16	0
1.17	0
1.18	0
1.19	0
1.2	0
1.21	0
1.22	0
1.23	0
1.24	0
1.25	0
1.26	0
1.27	0
1.28	0
1.29	0
1.3	0
1.31	0
1.32	0
1.33	0
1.34	0
1.35	0
1.36	0
1.37	0
1.38	0
1.39	0
1.4	0
1.41	0
1.42	0
1.43	0
1.44	0
1.45	0
1.46	0
1.47	0
1.48	0
1.49	0
1.5	0
1.51	0
1.52	0
1.53	0
1.54	0
1.55	0
1.56	0
1.57	0
1.58	0
1.59	0
1.6	0
1.61	0
1.62	0
1.63	0
1.64	0
1.65	0
1.66	0
1.67	0
1.68	0
1.69	0
1.7	0
1.71	0
1.72	0
1.73	0
1.74	0
1.75	0
1.76	0
1.77	0
1.78	0
1.79	0
1.8	0
1.81	0
1.82	0
1.83	0
1.84	0
1.85	0
1.86	0
1.87	0
1.88	0
1.89	0
1.9	0
1.91	0
1.92	0
1.93	0
1.94	0
1.95	0
1.96	0
1.97	0
1.98	0
1.99	0
2	-0.0109356
2.01	-0.16968
2.02	-0.199901
2.03	-0.165328
2.04	-0.0695291
2.05	-0.063718
2.06	-0.0794853
2.07	-0.0809333
2.08	-0.146135
2.09	-0.0869184
2.1	0.213249
2.11	0.788516
2.12	1.05656
2.13	0.76027
2.14	0.375319
2.15	0.078984
2.16	-0.0654956
2.17	-0.0884197
2.18	-0.118083
2.19	-0.0803467
2.2	-0.0941515
2.21	-0.118326
2.22	-0.109318
2.23	-0.138959
2.24	-0.107821
2.25	-0.126998
2.26	-0.124079
2.27	-0.0845066
2.28	-0.133847
2.29	-0.157063
2.3	-0.194485
2.31	-0.174368
2.32	-0.138895
2.33	-0.123511
2.34	-0.0902489
2.35	-0.110651
2.36	-0.0787704
2.37	-0.0126876
2.38	-0.0381318
2.39	-0.0224989
2.4	-0.048307
2.41	-0.0428155
2.42	0.00397087
2.43	-0.025911
2.44	-0.00450498
2.45	-0.0130992
2.46	-0.0141802
2.47	-0.0141121
2.48	-0.0491576
2.49	0.00845348
2.5	0.022383
2.51	0.0455611
2.52	0.101978
2.53	0.109731
2.54	0.138756
2.55	0.0551939
2.56	-0.0114463
2.57	-0.0114404
2.58	-0.0761702
2.59	-0.0782395
2.6	-0.109822
2.61	-0.0971925
2.62	-0.091872
2.63	-0.0805405
2.64	0.329442
2.65	0.924063
2.66	1.06941
2.67	0.719677
2.68	0.245249
2.69	0.00528194
2.7	-0.0913231
2.71	-0.126751
2.72	-0.131859
2.73	-0.163563
2.74	-0.13866
2.75	-0.148973
2.76	-0.15413
2.77	-0.145408
2.78	-0.166697
2.79	-0.124997
2.8	-0.162637
2.81	-0.183931
2.82	-0.17548
2.83	-0.202837
2.84	-0.175541
2.85	-0.192982
2.86	-0.175877
2.87	-0.142982
2.88	-0.161312
2.89	-0.122302
2.9	-0.108678
2.91	-0.0710621
2.92	-0.0353075
2.93	-0.0656931
2.94	-0.022027
2.95	-0.0452782
2.96	-0.0581949
2.97	-0.0610515
2.98	-0.103888
2.99	-0.0558516
3	-0.0587971
3.01	-0.0571922
3.02	-0.0368967
3.03	-0.0826915
3.04	-0.0577431
3.05	-0.0448934
3.06	0.00294213
3.07	0.0727423
3.08	0.085025
3.09	0.0890269
3.1	-0.00132749
3.11	-0.0663541
3.12	-0.0934417
3.13	-0.1727
3.14	-0.151988
3.15	-0.155221
3.16	-0.139713
3.17	-0.150724
3.18	-0.0659211
3.19	0.411293
3.2	0.940006
3.21	0.979985
3.22	0.577307
3.23	0.125785
3.24	-0.0501317
3.25	-0.149996
3.26	-0.170673
3.27	-0.163301
3.28	-0.194126
3.29	-0.148804
3.3	-0.162608
3.31	-0.170532
3.32	-0.17936
3.33	-0.196113
3.34	-0.143673
3.35	-0.163481
3.36	-0.174009
3.37	-0.153713
3.38	-0.186727
3.39	-0.172648
3.4	-0.200315
3.41	-0.16047
3.42	-0.0989177
3.43	-0.118318
3.44	-0.0712636
3.45	-0.0689017
3.46	-0.0240326
3.47	-0.0152357
3.48	-0.0718543
3.49	-0.0265922
3.5	-0.0179171
3.51	0.00951384
3.52	-0.00241559
3.53	-0.059068
3.54	-0.0116753
3.55	-0.0115567
3.56	-0.0129444
3.57	-0.0234526
3.58	-0.0601854
3.59	-0.0135716
3.6	-0.00487196
3.61	0.0622686
3.62	0.135353
3.63	0.142574
3.64	0.176443
3.65	0.0963006
3.66	0.0307349
3.67	0.000992969
3.68	-0.0587081
3.69	-0.0533075
3.7	-0.0758772
3.71	-0.0795867
3.72	-0.0671938
3.73	-0.0717118
3.74	0.195357
3.75	0.721116
3.76	1.13865
3.77	0.971244
3.78	0.486037
3.79	0.150451
3.8	-0.104203
3.81	-0.149191
3.82	-0.095658
3.83	-0.117506
3.84	-0.122239
3.85	-0.213694
3.86	-0.188828
3.87	-0.164061
3.88	-0.166503
3.89	-0.101533
3.9	-0.129724
3.91	-0.111305
3.92	-0.124578
3.93	-0.183006
3.94	-0.131341
3.95	-0.161352
3.96	-0.143638
3.97	-0.104382
3.98	-0.109242
3.99	-0.0506026
4	-0.0950172
4.01	-0.0413158
4.02	0.00722145
4.03	-0.0367152
4.04	-0.0260396
4.05	-0.0498092
4.06	0.000650327
4.07	-0.011387
4.08	-0.0499211
4.09	0.000310318
4.1	-0.0609265
4.11	-0.0479184
4.12	-0.0385291
4.13	-0.0620205
4.14	-0.00808167
4.15	-0.0790393
4.16	-0.0585312
4.17	-0.0151847
4.18	-0.000144251
4.19	0.104235
4.2	0.0713806
4.21	0.111872
4.22	0.127818
4.23	0.0185776
4.24	-0.0324855
4.25	-0.122129
4.26	-0.0829867
4.27	-0.0372557
4.28	-0.0825633
4.29	-0.0912998
4.3	-0.0890458
4.31	0.32787
4.32	0.932339
4.33	1.11455
4.34	0.844529
4.35	0.365529
4.36	0.0885148
4.37	-0.0470556
4.38	-0.110941
4.39	-0.0474766
4.4	-0.103069
4.41	-0.101659
4.42	-0.108768
4.43	-0.117335
4.44	-0.0277534
4.45	-0.077978
4.46	-0.0625195
4.47	-0.0689688
